$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",727190231,1,243,940GZZLURGP,Regent's Park Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUQPS,Queen's Park Underground Station,2025-11-27T11:25:53.951334Z,676,Between Elephant & Castle and Lambeth North,Queen's Park,2025-11-27T11:37:09Z,2025-11-27T11:37:09Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.032Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",570679767,1,245,940GZZLUWKA,Warwick Avenue Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUSGP,Stonebridge Park Underground Station,2025-11-27T11:25:53.951334Z,497,At Regents Park Platform 1,Stonebridge Park,2025-11-27T11:34:10Z,2025-11-27T11:34:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.543Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1130588293,1,243,940GZZLUQPS,Queen's Park Underground Station,bakerloo,Bakerloo,Northbound - Platform 3,,,940GZZLUQPS,Queen's Park Underground Station,2025-11-27T11:25:53.951334Z,1636,Between Elephant & Castle and Lambeth North,Queen's Park,2025-11-27T11:53:09Z,2025-11-27T11:53:09Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.73Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-767828621,1,231,940GZZLUEAC,Elephant & Castle Underground Station,bakerloo,Bakerloo,Northbound - Platform 3,,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T11:25:53.951334Z,1217,At Paddington Platform 4,Elephant and Castle,2025-11-27T11:46:10Z,2025-11-27T11:46:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.428Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1576496683,1,237,940GZZLUEAC,Elephant & Castle Underground Station,bakerloo,Bakerloo,Northbound - Platform 4,,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T11:25:53.951334Z,1097,At Edgware Road Platform 2,Elephant and Castle,2025-11-27T11:44:10Z,2025-11-27T11:44:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.428Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-769401479,1,241,940GZZLUOXC,Oxford Circus Underground Station,bakerloo,Bakerloo,Southbound - Platform 3,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T11:25:53.951334Z,736,At Maida Vale Platform 2,Elephant and Castle,2025-11-27T11:38:09Z,2025-11-27T11:38:09Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.076Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",234816560,1,207,940GZZLUERB,Edgware Road (Bakerloo) Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUQPS,Queen's Park Underground Station,2025-11-27T11:25:53.951334Z,497,Between Piccadilly Circus and Oxford Circus,Queen's Park,2025-11-27T11:34:10Z,2025-11-27T11:34:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.172Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1062462086,1,245,940GZZLUERB,Edgware Road (Bakerloo) Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUSGP,Stonebridge Park Underground Station,2025-11-27T11:25:53.951334Z,286,At Regents Park Platform 1,Stonebridge Park,2025-11-27T11:30:39Z,2025-11-27T11:30:39Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.172Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",2023245893,1,212,940GZZLUWJN,Willesden Junction Underground Station,bakerloo,Bakerloo,Northbound - Platform 3,outbound,,940GZZLUHAW,Harrow & Wealdstone Underground Station,2025-11-27T11:25:53.951334Z,1697,At Embankment Platform 5,Harrow and Wealdstone,2025-11-27T11:54:10Z,2025-11-27T11:54:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:03.057Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",234619952,1,237,940GZZLUERB,Edgware Road (Bakerloo) Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-11-27T11:25:53.951334Z,6,At Platform,Elephant and Castle,2025-11-27T11:25:59Z,2025-11-27T11:25:59Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.172Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:26
